Date,HRMM  Sec,Latitud,Longitud,Depth,Mc,Ml   Mb
2019 0101,0702 44.1,18.714,-67.53,33.4,3.4,2.1
2019 0101,1122 47.3,18.536,-70.368,7.7,2.7,2.2
2019 0101,1214 43.6,17.946,-66.706,7.4,3,1.1
2019 0101,1350 57.5,17.76,-71.306,23,3.2,2.2
2019 0101,1955 31.9,18.269,-68.912,119.9,3.4,2.5
2019 0101,2147 42.6,17.665,-68.778,76.2,3.5,2.6
2019 0102,0603 11.9,19.242,-64.7,43.5,3.8,2.7
2019 0102,0609 14.9,18.95,-68.696,11.8,3.3,2.4
2019 0102,0740 19.9,18.993,-68.168,20.7,3.4,2.1
2019 0102,0936 12.3,19.21,-65.456,34.1,3.6,2.5
2019 0102,1525  2.7,19.577,-69.372,51.7,2.5,3.2
2019 0102,2328 41.1,18.858,-68.354,204.7,3.2,2.7
2019 0103,0004 10.2,18.299,-68.922,116.6,3.8,3.8
2019 0103,0034 22.1,18.323,-68.342,20.5,3.3,2.3
2019 0103,1312  5.0,17.065,-68.686,237.2,3.5,2.9
2019 0103,1502 50.5,17.261,-69.235,15,3.1,2.8
2019 0103,1508  8.4,19.154,-68.735,129.2,2.1,2.7
2019 0103,1546 28.4,18.696,-70.643,31.1,2.5,2.7
2019 0103,1555 51.6,19.27,-69.674,42.5,2.5,2.1
2019 0103,1655 46.4,18.525,-70.471,8.8,2.4,2.6
2019 0103,1715 55.0,19.856,-68.544,194.3,2.9,2.7
2019 0103,1822 55.3,18.475,-68.882,23,2.7,3.2
2019 0103,1912  5.0,19.063,-70.673,19.6,3,2.3
2019 0104,0308  4.0,17.818,-68.195,29.3,3.2,2.2
2019 0104,1458 44.4,18.098,-68.136,103.2,3.4,2.6
2019 0105,0112 36.5,18.12,-69.291,110.4,3.3,2.5
2019 0105,0156 14.3,19.092,-68.014,22.8,2.9,2
2019 0105,0237 33.8,19.098,-70.506,12.1,3.2,2.1
2019 0105,0317 12.6,19.171,-67.993,11.6,3.2,2.1
2019 0105,0324  2.6,18.825,-67.793,22.7,3.3,1.9
2019 0105,0454 59.8,19.194,-68.027,23,3.5,2.1
2019 0105,0548  6.2,17.835,-69.751,22.4,3.3,2.4
2019 0105,0600 39.5,18.077,-69.862,20.2,3.2,2.1
2019 0105,0625  5.5,18.213,-69.011,207.6,3.8,3.3
2019 0105,1645 45.9,19.091,-65.057,33.9,3.8,2.8
2019 0105,1744 55.9,19.008,-70.113,10.5,3,2
2019 0105,1857 26.6,18.507,-69.028,122.3,3.2,2.2
2019 0106,0046 12.6,18.753,-67.459,31.9,3,2
2019 0106,0311 37.5,17.995,-70.734,31.1,3.1,2.7
2019 0106,0535 43.9,17.861,-68.021,23,3.4,2.7
2019 0106,0633 30.1,18.648,-69.647,96.4,3.3,2.6
2019 0106,1115  6.9,19.551,-67.215,15,3.5,2.3
2019 0106,1226 19.1,18.126,-70.568,18.1,3,1.9
2019 0106,1431 45.1,18.955,-70.324,132.8,3.3,2.5
2019 0106,1913 38.0,18.602,-68.742,125.6,3.5,2.5
2019 0106,2135 35.7,18.696,-69.554,96,3.1,1.9
2019 0106,2207 27.5,19.181,-69.259,19.1,3.4,2.5
2019 0106,2238 40.1,18.889,-69.427,147.1,3.2,2
2019 0107,0719 20.5,18.602,-74.126,23,3.5,2.6
2019 0107,0725 13.5,18.147,-72.646,225.4,3.5,2.7
2019 0107,1210 52.8,17.936,-68.387,76.6,3.5,3.3
2019 0107,1218  0.6,19.688,-67.761,22,3.2,2.3
2019 0107,1644  8.5,18.299,-69.03,90.8,3.1,2.5
2019 0107,1651  8.8,18.984,-70.172,35.7,2.8,2.1
2019 0107,2253 56.6,19.233,-68.035,11,3.4,2
2019 0108,0014 29.0,19.785,-69.902,22.1,3.3,2.3
2019 0108,0059 45.7,17.978,-68.476,80.4,3.1,2
2019 0108,0415 52.8,18.523,-65.083,55,3.6,2.3
2019 0108,0554 59.8,19.018,-67.75,12,3.4,2.1
