Fecha,Hora,Latitud,Longitud,Prof.,Mc
1/1/2020,7:42 43.8,17.908,-66.883,15.1,3.1
1/1/2020,8:37 40.5,19.183,-67.565,1.5,3.7
1/1/2020,9: 5 14.7,17.89,-66.865,15,3.4
1/1/2020,9:48 13.2,17.951,-70.17,31,3.2
1/1/2020,10:20 25.3,17.335,-68.675,58.2,3.5
1/1/2020,10:46 15.7,17.889,-66.843,15.8,3.3
1/1/2020,12:48 26.8,19.216,-67.499,22.6,3.6
1/1/2020,13:11 14.7,19.189,-67.536,10.5,3.5
1/1/2020,13:20 18.1,19.273,-67.436,23,3.2
1/1/2020,13:36  1.4,19.218,-67.468,15,3.2
1/1/2020,13:57 33.8,19.153,-69.78,21.3,3.1
1/1/2020,14: 4 23.5,19.256,-67.46,15,3.1
1/1/2020,14:24  5.0,17.884,-71.23,12.1,2.9
1/1/2020,14:58  2.4,19.25,-67.495,23.1,3.6
1/1/2020,15:34 43.1,18.811,-70.36,97.3,2.9
1/1/2020,22:25 41.5,18.908,-67.665,18.8,3.4
1/2/2020,0: 3 44.7,17.858,-66.877,12.2,3.6
1/2/2020,0:12  1.7,17.892,-66.911,19.2,3.5
1/2/2020,0:16 39.6,17.921,-66.846,12.1,2.7
1/2/2020,0:25 48.0,19.174,-67.536,21.4,3.3
1/2/2020,0:43 20.3,17.946,-66.826,0.1,2.9
1/2/2020,0:59 52.0,17.913,-66.857,22.6,3.3
1/2/2020,1:37 20.0,18.138,-70.404,32.5,2.9
1/2/2020,3:37 54.0,17.809,-67.025,31.8,3
1/2/2020,5:58 24.7,19.144,-67.573,11.1,3.5
1/2/2020,6: 5 40.1,19.091,-67.603,0,3.3
1/2/2020,6:15 24.5,19.166,-67.539,3,3.4
1/2/2020,6:20 49.3,19.157,-67.558,18.2,3.2
1/2/2020,6:22 47.3,19.127,-67.613,2.7,3.2
1/2/2020,6:25 40.7,19.301,-67.361,49.8,3.1
1/2/2020,6:28 54.7,19.192,-67.569,15,3.4
1/2/2020,6:30 46.2,17.86,-66.904,19,2.9
1/2/2020,6:32 11.8,17.908,-66.905,13.9,2.9
1/2/2020,6:53 11.8,19.061,-67.655,0,3.3
1/2/2020,7: 1 43.4,19.263,-67.279,15,3.3
1/2/2020,7:12 23.0,19.085,-67.643,12,3.5
1/2/2020,7:49 20.5,18.978,-67.479 1,20.5,3.4
1/2/2020,7:53 18.1,19.18,-67.587,15,3.2
1/2/2020,8: 1 13.7,17.89,-66.871,8.9,2.5
1/2/2020,8:14 27.3,19.155,-67.555,15,3.2
1/2/2020,8:16  1.8,19.23,-67.422,23.1,3.4
1/2/2020,8:55 13.0,19.273,-67.476,15,3.2
1/2/2020,9: 1 37.4,19.237,-67.511,21.9,3.6
1/2/2020,9: 3 34.8,19.111,-67.548,15,3.2
1/2/2020,9:11 45.8,17.825,-66.833,25.4,2.4
1/2/2020,9:19 46.7,19.188,-67.575,20.8,
1/2/2020,9:48 38.5,20.021,-69.619,88.6,2.8
1/2/2020,10:23 37.9,17.933,-67.517,0.2,2.5
1/2/2020,10:25  3.1,19.115,-67.568,20.2,3.1
1/2/2020,10:46 37.0,17.897,-66.663,0.1,2.3
1/2/2020,10:47 42.8,17.917,-66.883,16.2,2.4
1/2/2020,11: 0 20.3,18.617,-68.15,15,2.3
1/2/2020,11:18 32.4,19.19,-67.537,15,
1/2/2020,11:19 18.2,18.837,-67.686,15,2.8
1/2/2020,11:27 19.0,17.904,-66.872,12.1,2.9
1/2/2020,11:57 39.5,17.887,-66.894,16,2.8
1/2/2020,12:22 28.6,17.792,-66.937,31.1,2.4
1/2/2020,13:19 33.4,18.299,-68.284 1,57.3,3.6
1/2/2020,14:37 58.8,19.23,-67.485,22.6,3.3
1/2/2020,15: 2 15.7,19.683,-70.192,22.6,3
1/2/2020,15:33 41.1,17.863,-66.85,23,3.1
1/2/2020,20:42  2.2,17.843,-66.769,26.7,3.7
1/3/2020,1:37 34.4,18.923,-67.713,17.5,3.3
1/3/2020,2:48 56.8,19.032,-67.608,12.1,3.1
1/3/2020,3:29 16.9,18.385,-72.445 1,22.7,3.3
1/3/2020,16:52 10.5,17.708,-66.913,23,3.5
1/3/2020,17:48 36.7,20.103,-70.486,31.3,3
1/4/2020,0:11 36.0,19.317,-67.468,22.5,3.3
1/4/2020,0:13  5.7,18.69,-72.278,19,3.2
1/4/2020,3:48 49.1,18.124,-68.376 1,42.6,3.2
1/4/2020,12: 9 59.6,20.503,-60.91,3.1,4.2
1/4/2020,12:10 20.9,19.896,-64.373,43.9,3.9
1/4/2020,13:52  4.4,0.979,-72.185 4,11.2,
1/4/2020,23:25 10.8,19.194,-70.604,22.8,3.2
1/5/2020,0:31 47.0,18.502,-68.901 1,38.4,3.2
1/5/2020,1:55 19.5,17.861,-66.77,0.1,2.6
1/5/2020,4:23 22.9,17.899,-66.825,15.7,3
