Fecha,Hora,Latitud,Longitud,Prof.,Mc
1/1/2020,7:4243.8,17.908,-66.883,15.1,3.1
1/1/2020,8:3740.5,19.183,-67.565,1.5,3.7
1/1/2020,9:514.7,17.89,-66.865,15,3.4
1/1/2020,9:4813.2,17.951,-70.17,31,3.2
1/1/2020,10:2025.3,17.335,-68.675,58.2,3.5
1/1/2020,10:4615.7,17.889,-66.843,15.8,3.3
1/1/2020,12:4826.8,19.216,-67.499,22.6,3.6
1/1/2020,13:1114.7,19.189,-67.536,10.5,3.5
1/1/2020,13:2018.1,19.273,-67.436,23,3.2
1/1/2020,13:361.4,19.218,-67.468,15,3.2
1/1/2020,13:5733.8,19.153,-69.78,21.3,3.1
1/1/2020,14:423.5,19.256,-67.46,15,3.1
1/1/2020,14:245.0,17.884,-71.23,12.1,2.9
1/1/2020,14:582.4,19.25,-67.495,23.1,3.6
1/1/2020,15:3443.1,18.811,-70.36,97.3,2.9
1/1/2020,22:2541.5,18.908,-67.665,18.8,3.4
1/2/2020,0:344.7,17.858,-66.877,12.2,3.6
1/2/2020,0:121.7,17.892,-66.911,19.2,3.5
1/2/2020,0:1639.6,17.921,-66.846,12.1,2.7
1/2/2020,0:2548.0,19.174,-67.536,21.4,3.3
1/2/2020,0:4320.3,17.946,-66.826,0.1,2.9
1/2/2020,0:5952.0,17.913,-66.857,22.6,3.3
1/2/2020,1:3720.0,18.138,-70.404,32.5,2.9
1/2/2020,3:3754.0,17.809,-67.025,31.8,3
1/2/2020,5:5824.7,19.144,-67.573,11.1,3.5
1/2/2020,6:540.1,19.091,-67.603,0,3.3
1/2/2020,6:1524.5,19.166,-67.539,3,3.4
1/2/2020,6:2049.3,19.157,-67.558,18.2,3.2
1/2/2020,6:2247.3,19.127,-67.613,2.7,3.2
1/2/2020,6:2540.7,19.301,-67.361,49.8,3.1
1/2/2020,6:2854.7,19.192,-67.569,15,3.4
1/2/2020,6:3046.2,17.86,-66.904,19,2.9
1/2/2020,6:3211.8,17.908,-66.905,13.9,2.9
1/2/2020,6:5311.8,19.061,-67.655,0,3.3
1/2/2020,7:143.4,19.263,-67.279,15,3.3
1/2/2020,7:1223.0,19.085,-67.643,12,3.5
1/2/2020,7:4920.5,18.978,-67.4791,20.5,3.4
1/2/2020,7:5318.1,19.18,-67.587,15,3.2
1/2/2020,8:113.7,17.89,-66.871,8.9,2.5
1/2/2020,8:1427.3,19.155,-67.555,15,3.2
1/2/2020,8:161.8,19.23,-67.422,23.1,3.4
1/2/2020,8:5513.0,19.273,-67.476,15,3.2
1/2/2020,9:137.4,19.237,-67.511,21.9,3.6
1/2/2020,9:334.8,19.111,-67.548,15,3.2
1/2/2020,9:1145.8,17.825,-66.833,25.4,2.4
1/2/2020,9:1946.7,19.188,-67.575,20.8,
1/2/2020,9:4838.5,20.021,-69.619,88.6,2.8
1/2/2020,10:2337.9,17.933,-67.517,0.2,2.5
1/2/2020,10:253.1,19.115,-67.568,20.2,3.1
1/2/2020,10:4637.0,17.897,-66.663,0.1,2.3
1/2/2020,10:4742.8,17.917,-66.883,16.2,2.4
1/2/2020,11:020.3,18.617,-68.15,15,2.3
1/2/2020,11:1832.4,19.19,-67.537,15,
1/2/2020,11:1918.2,18.837,-67.686,15,2.8
1/2/2020,11:2719.0,17.904,-66.872,12.1,2.9
1/2/2020,11:5739.5,17.887,-66.894,16,2.8
1/2/2020,12:2228.6,17.792,-66.937,31.1,2.4
1/2/2020,13:1933.4,18.299,-68.2841,57.3,3.6
1/2/2020,14:3758.8,19.23,-67.485,22.6,3.3
1/2/2020,15:215.7,19.683,-70.192,22.6,3
1/2/2020,15:3341.1,17.863,-66.85,23,3.1
1/2/2020,20:422.2,17.843,-66.769,26.7,3.7
1/3/2020,1:3734.4,18.923,-67.713,17.5,3.3
1/3/2020,2:4856.8,19.032,-67.608,12.1,3.1
1/3/2020,3:2916.9,18.385,-72.4451,22.7,3.3
1/3/2020,16:5210.5,17.708,-66.913,23,3.5
1/3/2020,17:4836.7,20.103,-70.486,31.3,3
1/4/2020,0:1136.0,19.317,-67.468,22.5,3.3
1/4/2020,0:135.7,18.69,-72.278,19,3.2
1/4/2020,3:4849.1,18.124,-68.3761,42.6,3.2
1/4/2020,12:959.6,20.503,-60.91,3.1,4.2
1/4/2020,12:1020.9,19.896,-64.373,43.9,3.9
1/4/2020,13:524.4,0.979,-72.1854,11.2,
1/4/2020,23:2510.8,19.194,-70.604,22.8,3.2
1/5/2020,0:3147.0,18.502,-68.9011,38.4,3.2
1/5/2020,1:5519.5,17.861,-66.77,0.1,2.6
1/5/2020,4:2322.9,17.899,-66.825,15.7,3
1/5/2020,4:4115.8,17.225,-92.7982,22.5,
1/5/2020,6:4519.5,18.973,-67.625,18.2,3.4
1/5/2020,7:2513.4,17.875,-66.872,12.2,3.4
